quad,Squat,<iframe width='560' height='315' src='https://www.youtube.com/embed/MVMNk0HiTMg' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
quad,Leg-Extension,<iframe width='560' height='315' src='https://www.youtube.com/embed/m98Tjtaj1sk' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
quad,Leg press,<iframe width='560' height='315' src='https://www.youtube.com/embed/b5EFGXP7XH8' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
quad,Lunges,<iframe width='560' height='315' src='https://www.youtube.com/embed/bARbIZhhsME' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
quad,Bulgarian-split-squats,<iframe width='560' height='315' src='https://www.youtube.com/embed/HBYGeyb4sSM' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
hamstrings,Stiff-deadlift,<iframe width='560' height='315' src='https://www.youtube.com/embed/Xeo-YeWkUz8' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
hamstrings,Harmstring-curls,<iframe width='560' height='315' src='https://www.youtube.com/embed/GaSHOocFTVg' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
hamstrings,Dumbbell-harmstring-curl,<iframe width='560' height='315' src='https://www.youtube.com/embed/xSjmKTf4QbA' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
calves,Standing-calf-raises,<iframe width='560' height='315' src='https://www.youtube.com/embed/-M4-G8p8fmc' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
calves,Seated-calf-raises,<iframe width='560' height='315' src='https://www.youtube.com/embed/7CcMTPooCmM' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
triceps,skullcrusher,<iframe width='560' height='315' src='https://www.youtube.com/embed/hLdIJdhVA2Q' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
triceps,Dumbbell-overhead-extention,<iframe width='560' height='315' src='https://www.youtube.com/embed/WRLq6cL3Iog' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
triceps,Overhead-cable-extention-rope,<iframe width='560' height='315' src='https://www.youtube.com/embed/gsuW1bJc-Gk' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
triceps,Closegrip-benchpress,<iframe width='560' height='315' src='https://www.youtube.com/embed/QVmE6bbBtwo' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
triceps,Diamond-pushups,<iframe width='560' height='315' src='https://www.youtube.com/embed/J0DnG1_S92I' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
triceps,Tricep-dips,<iframe width='560' height='315' src='https://www.youtube.com/embed/8kNMoWc3yfA' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
triceps,Tricep-rope-pushdown,<iframe width='560' height='315' src='https://www.youtube.com/embed/coa5cmsaqiw' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
triceps,Dumbbell-kickback,<iframe width='560' height='315' src='https://www.youtube.com/embed/GBroTR_Gkc8' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
triceps,Parallel-bar-dips,<iframe width='560' height='315' src='https://www.youtube.com/embed/wjUmnZH528Y' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
biceps,Wide-grip-barbell-curl,<iframe width='560' height='315' src='https://www.youtube.com/embed/QZEqB6wUPxQ' frameborder='0' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe>
